Row,coelomocyte,endocrine,epithelium,excretory,germline,gland,glia,gonad,hypodermis,intestine,mesoderm,muscle,neuron,pharynx,seam,valve,vulva
RC05577,92.4401,115.3853,141.1429,59.6132,557.7412,64.3837,76.2662,192.2616,72.0359,166.4574,108.939,96.1234,120.1037,80.7898,69.3876,121.3298,293.8311
RM05577,1,4.9443,3.615,1,1,2.8426,2.4112,8.4132,1.9616,3.2061,1,3.0491,3.2805,1,2.5933,4.0463,11.9812
RC03654,81.0101,48.3319,32.3796,83.0585,82.8737,36.377,26.5592,52.522,27.3229,29.6793,14.7377,29.7656,25.8368,31.6884,26.247,42.1254,92.5097
RM03654,81.0101,48.3319,32.3796,83.0585,82.8737,36.377,26.5592,52.522,27.3229,29.6793,14.7377,29.7656,25.8368,31.6884,26.247,42.1254,92.5097
RC03661,69.5801,68.0535,77.2214,47.8906,459.4928,47.0638,55.2544,101.0787,51.242,67.1829,33.3817,52.778,48.9124,13.2754,42.4247,78.6813,237.0951
RM03661,1,24.6659,9.7166,1,50.1242,2.8426,3.9793,11.3785,2.9231,40.7098,10.8126,6.9107,11.4315,7.1377,3.9414,14.7085,15.6416
RC03650,81.0101,68.0535,72.3789,83.0585,44.666,142.1394,45.3757,131.1023,37.4194,36.2976,52.0257,59.5557,54.0153,80.7898,34.8261,78.6813,171.2081
RM03650,81.0101,68.0535,72.3789,83.0585,44.666,142.1394,45.3757,131.1023,37.4194,36.2976,52.0257,59.5557,54.0153,80.7898,34.8261,78.6813,171.2081
RC05578,35.29,75.9421,40.9025,59.6132,181.1222,28.6383,26.716,86.2523,25.3998,56.1525,36.3255,53.0933,35.478,62.3768,29.9238,57.357,149.2458
RM05578,12.43,52.2762,24.5347,1,39.2077,8.3702,25.9319,12.4905,16.1447,14.2366,30.4379,19.6779,29.4946,13.2754,17.3003,39.079,37.6039
RC03652,58.15,32.5546,39.3528,59.6132,61.0407,40.0621,13.7012,54.3753,21.3131,71.5951,22.5878,32.3663,19.6502,68.5145,23.5507,26.8938,196.8308
RM03651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RM03905,1,1,3.7118,1,1,2.474,2.0976,6.1893,1.3606,1,1,3.2855,3.2579,7.1377,1.8579,2.5232,6.4906
