Row,coelomocyte,endocrine,epithelium,excretory,germline,gland,glia,gonad,hypodermis,intestine,mesoderm,muscle,neuron,pharynx,seam,valve,vulva
RM00713,0.817005947544005,0.0231512028207426,0.0814482466436544,0.565938098313898,0.275881308413379,0.0658096091382428,0.084865364179996,0.074639477894074,0.162285301532841,0.227446676992103,1,0.136272610043455,0.115151767710091,0.0231512028207426,0.119622264974777,0.128940624110126,0.0655225342232656
RC00093,0.138344760039177,0.142830113079868,0.0801175318315377,0.663489448846941,0.13262955213249,0.0480433621226961,0.0460344136764313,0.0565098833585611,0.572994390526222,0.183005743032677,0.655491496750067,0.590923559789867,1,0.0111299082895557,0.791374321075594,0.316277490873475,0.194459531653459
RM00243,0.408147941516745,0.10841870480989,0.181492287150528,0.293185859787854,0.0362749241646463,0.0641031294251156,0.0883745430921427,0.0750471675575632,0.256597455887607,0.172338916580754,0.263590401375294,0.205964149566025,0.0668258569258281,1,0.109771392154295,0.135465498687723,0.394319117260081
RM00248,0.408147941516745,0.10841870480989,0.181492287150528,0.293185859787854,0.0362749241646463,0.0641031294251156,0.0883745430921427,0.0750471675575632,0.256597455887607,0.172338916580754,0.263590401375294,0.205964149566025,0.0668258569258281,1,0.109771392154295,0.135465498687723,0.394319117260081
RC00359,0.328320649035997,0.129212561909332,0.0518948398660367,0.0746487760878834,0.0255858688733844,0.0551750635446322,0.231632905033271,1,0.283292298974848,0.0347372148423571,0.214497322019925,0.142839056877638,0.12147519538069,0.565875341938327,0.0402154926274443,0.130482554245543,0.0132263859131313
RM00355,0.256149201766003,0.096152551123482,0.328199079428802,0.453062181087413,0.244773939045238,0.162407508704194,0.197006903102556,0.133779658353723,0.210633530671726,0.182140363479126,0.249303989338765,0.369916892221575,0.138331417445722,1,0.131820550050742,0.133418140403648,0.173230747692369
RC00355,0.213241551947596,0.136034000915117,0.621335280025474,0.829369307909877,0.220526630484917,0.0561451511521249,0.380783034847689,0.251841036895516,0.201612885925128,0.0909579030889334,0.577453492537936,0.587803262732032,0.409530149057408,1,0.991653312272772,0.250469893848275,0.165725040155122
RC00768,0.943859525371124,0.0403174773276505,0.085166372417292,0.649639541689925,0.198668857880604,0.171029312121153,0.0656787664993865,0.207145681588038,1,0.716824032995721,0.426204223761558,0.0900030046670686,0.0699212478796071,0.138452074203746,0.18812878423574,0.0342267526602834,0.237005832309734
RM01648,0.646754725078577,0.063471053845974,0.0412500981641788,0.32459906334958,0.065824761641615,0.012927729890001,0.171403980199596,0.0884442835879736,0.328842644988164,0.267848348885078,1,0.302692495686686,0.154077050541354,0.0254937953672811,0.359100062326046,0.159334316857423,0.063803564482506
RC00369,0.469763547466884,0.302088311287237,0.301454017350235,0.247380625614826,0.521914090111005,0.165380330099078,0.240828029801831,0.568395256306665,0.445309619303834,0.351026784109772,0.810099849712937,0.912896067643821,0.198606550066624,0.176715089539941,0.72706591465452,0.357996696080689,1
RM00369,0.469763547466884,0.302088311287237,0.301454017350235,0.247380625614826,0.521914090111005,0.165380330099078,0.240828029801831,0.568395256306665,0.445309619303834,0.351026784109772,0.810099849712937,0.912896067643821,0.198606550066624,0.176715089539941,0.72706591465452,0.357996696080689,1
RC00485,0.22692826459338,0.0248990505216598,0.107523414816568,0.10131475928294,0.308597688141395,0.0461570567992257,0.0388195038734066,0.737925489970881,0.290340924211207,0.0398800511505369,0.200711233369423,0.205904721620346,0.10703515969136,1,0.19059429584675,0.0668021530286244,0.141225063763094
RC00256,0.138635625608873,0.483560677825409,0.106983853705308,0.254072121269184,0.186141625466682,0.124414665593193,0.0604587753564847,0.310150856312773,0.554247553460703,0.240772516520025,0.236226267175734,0.348344346683217,1,0.382627601459565,0.0594365417761116,0.687340636282759,0.0464059458638931
RC00261,0.0150311379535288,0.0105692334781115,0.214115221295078,0.000629972252872122,0.0109455789019773,0.00155855135360563,0.00230928928735334,0.00156396911498033,0.004415979498183,0.0131380083364228,0.100773322439013,0.00142436726374387,1,0.000629972252872122,0.00132483164779007,0.011185031355294,0.00293592268728524
RC00253,0.104698729462502,0.0155861343973446,0.0520242268020981,0.126217938530185,0.0104013214759883,0.00849517057114565,0.0361077685030829,0.0194002400235578,0.299533107860562,0.129519728051466,0.170078510470156,0.0826154411977393,0.021094667963439,1,0.119963494618797,0.0452762458042744,0.0122219843618126
RC00578,0.42139846290812,0.0299442213703011,0.0101624908398287,1,0.0556414542415378,0.0138677422676042,0.0259991400037549,0.0689120441868493,0.549831331722355,0.647375497374589,0.0119990673280159,0.401019277239775,0.00974854194298588,0.229086647649848,0.108858264139973,0.00605631158511843,0.0171405730482022
